TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,TRADINGSESSION,TRENDCLSPR,ADJ_CLOSE
2015-08-13,GAZP,27277,3644553022.6,143.3,142.72,144.5,143.7,143.61,143.7,25378510,3,0.5,72.77126311088219
2015-08-14,GAZP,31028,3640357272.5,143.7,142.9,145.45,144.8,144.62,144.8,25171590,3,0.77,73.32831522933711
2015-08-17,GAZP,23313,3492431181.6,144.5,142.76,144.89,144.25,143.91,144.25,24269970,3,-0.38,73.04978917010965
2015-08-18,GAZP,21261,2931816855.8,143.61,141.7,143.9,142.65,142.75,142.65,20539560,3,-1.11,72.23953154326614
2015-08-19,GAZP,38595,4374879807.2,142.5,139.8,143.6,140.8,141.79,140.8,30855920,3,-1.3,71.30267116222835
2015-08-20,GAZP,36231,5032343757.9,140.1,139.82,143.0,142.64,141.51,142.64,35561070,3,1.31,72.23446743309836
2015-08-21,GAZP,28817,3677582472.8,141.55,140.21,143.0,140.29,141.59,140.29,25997790,3,-1.65,71.04440154367197
2015-08-24,GAZP,64956,7044996557.1,139.0,134.1,139.0,135.35,136.26,135.35,51703930,3,-3.52,68.54273112079265
2015-08-25,GAZP,48856,6157708829.4,135.72,135.72,141.0,140.4,139.47,140.4,44157570,3,3.73,71.10010675551747
2015-08-26,GAZP,41292,4844153641.7,140.29,138.51,141.95,140.51,140.32,140.51,34517760,3,0.08,71.15581196736295
2015-08-27,GAZP,37312,4678376905.7,141.9,141.59,144.8,144.6,143.17,144.6,32676500,3,2.91,73.22703302598165
2015-08-28,GAZP,45632,5578715116.3,145.3,143.04,147.35,146.6,145.17,146.6,38427870,3,1.38,74.23985505953604
2015-08-31,GAZP,32176,4228182843.2,145.89,145.16,148.19,148.19,146.53,148.19,28847750,3,1.08,75.04504857621177
2015-09-01,GAZP,42103,5136165825.9,148.19,143.7,148.2,144.5,145.54,144.5,35291020,3,-2.49,73.17639192430394
2015-09-02,GAZP,41952,4836468255.8,144.1,142.25,145.5,142.57,143.86,142.57,33617350,3,-1.34,72.19901866192396
2015-09-03,GAZP,32804,4060065100.7,143.61,142.7,145.95,145.3,144.23,145.3,28149840,3,1.9100000000000001,73.5815207377257
2015-09-04,GAZP,30598,3729631645.0,144.9,142.17,145.13,142.8,143.44,142.8,26002300,3,-1.72,72.31549319578272
2015-09-07,GAZP,22212,2553726139.0,142.51,141.32,143.4,141.67,142.42,141.67,17931450,3,-0.79,71.74324874682449
2015-09-08,GAZP,25663,3201444762.4,142.27,142.23,144.39,143.21,143.45,143.21,22317250,3,1.09,72.52312171266138
2015-09-09,GAZP,24480,3060661700.8,144.5,144.11,145.4,144.22,144.81,144.22,21136180,3,0.71,73.03459683960632
2015-09-10,GAZP,28236,3555339215.9,143.6,142.35,144.78,142.99,143.52,142.99,24778540,3,-0.85,72.4117112889704
2015-09-11,GAZP,32768,3605123249.8,143.26,141.2,143.5,142.4,142.11,142.4,25381150,3,-0.41000000000000003,72.11292878907184
2015-09-14,GAZP,29043,2944804974.5,142.25,142.1,143.87,143.58,143.38,143.58,20561300,3,0.8300000000000001,72.71049378886893
2015-09-15,GAZP,28437,3471314295.8,143.51,141.45,143.8,141.95,142.24,141.95,24405380,3,-1.1400000000000001,71.8850438315221
